
Nom de l'exemple : exemple100

Nombre items : 100
Capacite maximale d'un pack : 100
Taille moyenne d'un item : 16.41

Algorithme;nombre de packs utilises;temps execution (ms);place moyenne occupee pack
NextFit;21;0.122667;78.14285714285714
FirstFit;17;0.367556;96.52941176470588
BestFit;17;0.20089;96.52941176470588
AlmostWorstFit;17;0.149334;96.52941176470588
WorstFit;18;0.163556;91.16666666666667


----------------------------------------------------------------------


Nom de l'exemple : exemple500

Nombre items : 500
Capacite maximale d'un pack : 100
Taille moyenne d'un item : 18.372

Algorithme;nombre de packs utilises;temps execution (ms);place moyenne occupee pack
NextFit;114;0.22;80.57894736842105
FirstFit;94;1.688003;97.72340425531915
BestFit;94;1.548003;97.72340425531915
AlmostWorstFit;95;1.288447;96.69473684210526
WorstFit;101;1.930226;90.95049504950495


----------------------------------------------------------------------


Nom de l'exemple : exemple1000

Nombre items : 1000
Capacite maximale d'un pack : 100
Taille moyenne d'un item : 19.38

Algorithme;nombre de packs utilises;temps execution (ms);place moyenne occupee pack
NextFit;238;0.171111;81.42857142857143
FirstFit;197;3.724007;98.3756345177665
BestFit;197;3.530228;98.3756345177665
AlmostWorstFit;199;3.720895;97.38693467336684
WorstFit;208;4.740009;93.17307692307692


----------------------------------------------------------------------


Nom de l'exemple : monexemple

Nombre items : 200
Capacite maximale d'un pack : 100
Taille moyenne d'un item : 50.0

Algorithme;nombre de packs utilises;temps execution (ms);place moyenne occupee pack
NextFit;150;0.045778;66.66666666666667
FirstFit;150;0.398667;66.66666666666667
BestFit;150;0.241778;66.66666666666667
AlmostWorstFit;150;0.230667;66.66666666666667
WorstFit;150;0.239112;66.66666666666667


----------------------------------------------------------------------

